,lga_name,lga_code,distance_to_melbourne_km,travel_time_to_melbourne_minutes,commercial_land_use_perc,industrial_land_use_perc,actual_ann_pop_chg_perc_2004_2014,proj_ann_pop_chg_2014_2024_rank,ppl_born_overseas_perc,new_settler_arrivals_per_100000_pop,ppl_who_feel_safe_on_streets_alone_perc,unemployment_rate_perc,median_household_income_aud,households_with_mortgage_stress_perc,rental_housing_that_is_affordable_perc,homeless_ppl_est_per_1000_pop,ppl_who_completed_a_higher_edu_qual_perc
53,Mount Alexander (S),25430,121,82,0.0,0.1,0.5,37,11.4,5.5,74.2,6.5,838,14.4,42.1,2.4,41.4
54,Moyne (S),25490,287,230,0.0,0.0,0.5,54,7.0,85.7,69.9,2.0,1040,12.7,57.9,0.3,30.3
55,Murrindindi (S),25620,129,118,0.0,0.0,0.2,39,12.4,73.6,76.0,5.1,917,15.1,75.4,2.4,28.8
56,Nillumbik (S),25710,25,27,0.0,0.1,0.4,62,15.4,124.1,71.4,2.7,1872,7.4,24.6,1.2,46.0
57,Northern Grampians (S),25810,231,172,0.0,0.0,-0.6,72,6.8,179.2,74.8,5.9,815,10.4,100.0,3.0,23.6
58,Port Phillip (C),25900,6,8,6.4,0.5,2.0,17,34.0,882.2,73.8,4.9,1672,5.2,0.5,15.3,68.6
59,Pyrenees (S),25990,157,106,0.0,0.0,0.6,58,9.4,,72.2,5.4,732,15.8,92.3,1.5,24.8
60,Queenscliffe (B),26080,102,86,0.2,0.0,-0.3,67,10.2,,87.5,3.5,1022,7.9,25.0,1.2,50.9
61,South Gippsland (S),26170,130,108,0.0,0.2,0.7,38,11.7,93.1,75.8,3.8,920,13.3,83.7,2.4,28.0
62,Southern Grampians (S),26260,295,229,0.0,0.1,-0.6,73,7.6,50.3,71.7,3.5,908,10.4,88.0,2.0,30.3
63,Stonnington (C),26350,13,14,6.2,0.2,1.4,21,31.5,815.2,67.0,3.8,1722,5.5,0.6,5.1,71.5
64,Strathbogie (S),26430,152,104,0.0,0.0,0.3,50,9.7,81.5,71.8,5.3,843,15.0,66.0,1.7,26.6
65,Surf Coast (S),26490,94,75,0.0,0.0,2.8,15,12.0,144.0,79.1,3.4,1277,9.9,13.1,0.6,43.3
66,Swan Hill (RC),26610,338,256,0.0,0.0,-0.2,63,12.6,257.5,61.3,5.4,886,11.8,77.4,7.9,25.8
67,Towong (S),26670,423,304,0.0,0.0,-0.6,71,7.9,17.3,75.9,6.0,850,13.2,84.0,1.7,24.1
68,Wangaratta (RC),26700,238,161,0.0,0.1,0.2,60,8.4,47.9,73.6,6.4,913,12.3,79.0,4.0,29.6
69,Warrnambool (C),26730,255,210,1.0,2.0,1.0,32,7.3,71.6,56.5,3.3,1025,9.9,49.7,3.6,32.9
70,Wellington (S),26810,212,154,0.0,0.1,0.4,52,11.0,137.4,69.7,5.2,905,11.2,57.5,2.9,25.5
71,West Wimmera (S),26890,408,318,0.0,0.0,-1.5,75,6.2,25.1,73.4,3.9,815,9.8,100.0,1.2,25.6
72,Whitehorse (C),26980,26,22,3.3,3.3,1.1,34,34.9,1105.1,61.3,6.3,1317,9.0,2.5,4.6,58.3
73,Whittlesea (C),27070,28,28,0.5,1.7,4.2,6,35.2,641.7,50.3,7.9,1275,15.4,19.0,2.6,35.1
74,Wodonga (RC),27170,307,205,0.3,2.5,1.3,20,10.0,146.9,61.6,7.6,1075,9.3,59.4,4.5,25.8
75,Wyndham (C),27260,31,25,0.3,3.6,7.0,5,35.5,1185.7,48.6,7.0,1424,12.8,43.6,2.2,41.6
76,Yarra (C),27350,4,6,13.3,2.9,2.0,13,31.6,662.4,70.7,7.2,1680,4.7,0.9,10.0,74.2
77,Yarra Ranges (S),27450,37,33,0.1,0.1,0.5,47,17.1,158.6,65.0,5.4,1281,11.3,8.9,2.3,31.2
78,Yarriambiack (S),27630,334,255,0.0,0.0,-1.3,77,6.7,14.5,74.3,5.8,773,10.7,100.0,0.4,22.6
