,School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
1219,Aitken Hill Primary School,2 Rhyolite Drive,Craigieburn,3064,327,Hume (C),144.905558,-37.601714
1220,Morwell Central Primary School,47 - 87 McDonald Street,Morwell,3840,381,Latrobe (C),146.40764,-38.231672
1221,Ashley Park Primary School,105 Orchard Road,Doreen,3754,707,Whittlesea (C),145.127284,-37.615639
1222,Casey Fields Primary School,Chapelton Road,Cranbourne East,3977,161,Casey (C),145.298408,-38.120139
1223,Mirripoa Primary School,80 Unity Drive,Mount Duneed,3217,275,Greater Geelong (C),144.328478,-38.224923
1224,Keysborough Gardens Primary School,10 Homeleigh Road,Keysborough,3173,267,Greater Dandenong (C),145.161324,-38.009508
1225,Docklands Primary School,17 Little Docklands Drive,Docklands,3008,460,Melbourne (C),144.940553,-37.812714
1226,Garrang Wilam Primary School,2 Canvas Street,Truganina,3029,726,Wyndham (C),144.72505,-37.828778
1227,Aintree Primary School,11 Timbertop Parade,Aintree,3336,465,Melton (C),144.666228,-37.723801
1228,Gaayip-Yagila Primary School,115 Blackmore Road,Mickleham,3064,327,Hume (C),144.909089,-37.528608
1229,Riverbend Primary School,1 Communal Road,Wyndham Vale,3024,726,Wyndham (C),144.625256,-37.876676
1230,Ramlegh Park Primary School,34 Thoroughbred Drive,Clyde North,3978,161,Casey (C),145.338275,-38.114885
1231,Alvie Primary School,40 Wool Wool Rd,Alvie,3249,175,Colac-Otway (S),143.50332,-38.241899
1232,Apollo Bay P-12 College,Pengilley Avenue,Apollo Bay,3233,175,Colac-Otway (S),143.660507,-38.753524
1233,Boisdale Consolidated School,69 Newry Road,Boisdale,3860,681,Wellington (S),146.979469,-37.87959
1234,Cobram Primary School,90-100 WILLIAM STREET,Cobram,3644,490,Moira (S),145.651099,-35.925108
1235,Cohuna Consolidated School,Mead St,Cohuna,3568,225,Gannawarra (S),144.213425,-35.806317
1236,Collingwood College,Cnr Cromwell St/McCutcheon Way,Collingwood,3066,735,Yarra (C),144.990497,-37.802985
1237,Dunkeld Consolidated School,93 Victoria Valley Road,Dunkeld,3294,626,Southern Grampians (S),142.340366,-37.638984
1238,East Loddon P-12 College,Dingee Road,Dingee,3571,394,Loddon (S),144.141446,-36.372222
1239,Foster Primary School,75 Pioneer Street,Foster,3960,617,South Gippsland (S),146.201995,-38.657341
1240,Goroke P-12 College,55 Natimuk-Frances Road,Goroke,3412,689,West Wimmera (S),141.48354,-36.715786
1241,Heywood Consolidated School,51 Kentbruck Road,Heywood,3304,241,Glenelg (S),141.612925,-38.127523
1242,Kiewa Valley Primary School,81 Kiewa East Road,Tangambalanga,3691,335,Indigo (S),147.038773,-36.251053
1243,Lavers Hill K-12 College,Great Ocean Road,Lavers Hill,3238,175,Colac-Otway (S),143.383051,-38.681844
1244,Lockington Consolidated School,20 Burns Street,Lockington,3563,137,Campaspe (S),144.536638,-36.265769
1245,Manangatang P-12 College,4105 Mallee Highway,Manangatang,3546,661,Swan Hill (RC),142.884879,-35.056234
1246,Terang College,45 Strong Street,Terang,3264,183,Corangamite (S),142.921395,-38.246282
1247,Merino Consolidated School,49 Paschendale Road,Merino,3310,241,Glenelg (S),141.5483064,-37.70636625
1248,Rushworth P-12 College,45 Heily Street,Rushworth,3612,137,Campaspe (S),145.014399,-36.583317
1249,Macleod College,Carwarp Street,Macleod,3085,66,Banyule (C),145.072218,-37.724746
1250,Pakenham Consolidated School,2 Rundell Way,Pakenham,3810,145,Cardinia (S),145.464663,-38.065371
1251,Poowong Consolidated School,5 Gardner Lane,Poowong,3988,617,South Gippsland (S),145.769703,-38.342481
1252,Port Fairy Consolidated School,Albert Street,Port Fairy,3284,549,Moyne (S),142.228225,-38.386616
1253,Red Hill Consolidated School,341 Arthurs Seat Road,Red Hill,3937,534,Mornington Peninsula (S),144.995269,-38.366681
1254,Sherbrooke Community School,311 Mt Dandenong Tourist Road,Sassafras,3787,745,Yarra Ranges (S),145.349444,-37.868244
1255,Tongala Primary School,28 Miller Street,Tongala,3621,137,Campaspe (S),144.956517,-36.252149
1256,Werrimull P-12 School,5 McDonald Street,Werrimull,3496,478,Mildura (RC),141.593839,-34.390411
1257,Camperdown College,1 Wilson Street,Camperdown,3260,183,Corangamite (S),143.145435,-38.239731
1258,Timboon P-12 School,Bailey Street,Timboon,3268,183,Corangamite (S),142.975889,-38.484056
1259,Virtual School Victoria,315 Clarendon Street,Thornbury,3071,189,Darebin (C),145.025701,-37.76204
1260,Wedderburn College,15-29 Hospital Street,Wedderburn,3518,394,Loddon (S),143.61877,-36.417022
1261,Victorian School Of Languages,315 Clarendon Street,Thornbury,3071,189,Darebin (C),145.0258329,-37.7619483
1262,Avenues Education,Level 2 999 Nepean Highway,Moorabbin,3189,343,Kingston (C),145.036279,-37.934579
1263,Monash Children's Hospital School,246 Clayton Road,Clayton,3168,497,Monash (C),145.124252,-37.91938
1264,Mount Erin Secondary College,43 Robinsons Road,Frankston South,3199,217,Frankston (C),145.14663,-38.174118
1265,Box Hill Senior Secondary College,Dunloe Avenue,Mont Albert North,3129,698,Whitehorse (C),145.111907,-37.809243
1266,Edgars Creek Secondary College,2 Steen Avenue,Wollert,3750,707,Whittlesea (C),145.005071,-37.609492
1267,Elevation Secondary College,199 Elevation Boulevard,Craigieburn,3064,327,Hume (C),144.890252,-37.598288
1268,Cobden Technical School,Mckenzie Street,Cobden,3266,183,Corangamite (S),143.0636059,-38.32403633
1269,Lyndhurst Secondary College,950 South Gippsland Highway,Cranbourne,3977,161,Casey (C),145.271028,-38.075386
1270,Daylesford Secondary College,39 Smith Street,Daylesford,3460,291,Hepburn (S),144.151851,-37.33466597
1271,Dromana Secondary College,110 Harrisons Road,Dromana,3936,534,Mornington Peninsula (S),145.013582,-38.342636
1272,Grovedale College,19 Wingarra Drive,Grovedale,3216,275,Greater Geelong (C),144.327441,-38.210399
1273,Irymple Secondary College,975 - 1011  Karadoc Ave,Irymple,3498,478,Mildura (RC),142.1647031,-34.23232674
1274,Crusoe 7-10 Secondary College,57 - 75 Olympic Parade,Kangaroo Flat,3555,262,Greater Bendigo (C),144.23367,-36.788647
1275,Peter Lalor Secondary College,35 Duncan Road,Lalor,3075,707,Whittlesea (C),145.0131559,-37.66690584
1276,Lilydale Heights College,17-19 Nelson Road,Lilydale,3140,745,Yarra Ranges (S),145.3414068,-37.7458221
1277,Staughton College,Wilson Road,Melton South,3338,465,Melton (C),144.568689,-37.708365
1278,Chaffey Secondary College,261-289 Deakin Avenue,Mildura,3500,478,Mildura (RC),142.147985,-34.19573
1279,Bentleigh Secondary College,Vivien St,Bentleigh East,3165,231,Glen Eira (C),145.059798,-37.927357
1280,Mount Clear College,59 Olympic Avenue,Mount Clear,3353,57,Ballarat (C),143.876673,-37.607965
1281,Rosehill Secondary College,Sapphire Street,Niddrie,3042,506,Moonee Valley (C),144.886183,-37.746679
1282,Northern College of the Arts and Technology,62 Murray Road,Preston,3072,189,Darebin (C),145.025372,-37.740069
1283,Swinburne Senior Secondary College,505 Burwood Road,Hawthorn,3122,111,Boroondara (C),145.040821,-37.823135
1284,Victorian College Of The Arts Secondary School,57 Miles Street,Southbank,3006,460,Melbourne (C),144.964767,-37.828229
1285,Brauer Secondary College,Caramut Road,Warrnambool,3280,673,Warrnambool (C),142.458924,-38.358714
1286,Wyndham Central Secondary College,101 Shaws Road,Werribee,3030,726,Wyndham (C),144.65385,-37.888932
1287,Weeroona College Bendigo,383 Napier Street,Bendigo,3550,262,Greater Bendigo (C),144.29798,-36.73893
1288,Whittlesea Secondary College,55 Laurel Street,Whittlesea,3757,707,Whittlesea (C),145.1201751,-37.5150463
1289,Alexandra Secondary College,Downey Street,Alexandra,3714,562,Murrindindi (S),145.701477,-37.19449
1290,Auburn High School,26 Burgess Street,Hawthorn East,3123,111,Boroondara (C),145.045067,-37.83988
1291,Ballarat High School,Sturt Street West,Ballarat,3350,57,Ballarat (C),143.818213,-37.554522
1292,Balwyn High School,Buchanan Avenue,Balwyn North,3104,111,Boroondara (C),145.0767724,-37.79785922
1293,Bayswater Secondary College,14 Orchard Road,Bayswater,3153,367,Knox (C),145.261998,-37.83903
1294,Beaufort Secondary College,1/37 Park Road,Beaufort,3373,599,Pyrenees (S),143.382486,-37.438844
1295,Beaumaris Secondary College,117 - 136 Reserve Road,Beaumaris,3193,91,Bayside (C),145.034078,-37.978396
1296,Beechworth Secondary College,85 Balaclava Road,Beechworth,3747,335,Indigo (S),146.690764,-36.34722
1297,Belmont High School,Rotherham Street,Belmont,3216,275,Greater Geelong (C),144.330562,-38.175654
1298,Bendigo Senior Secondary College,40 Gaol Road,Bendigo,3550,262,Greater Bendigo (C),144.279278,-36.755301
1299,Berwick Secondary College,Manuka Road,Berwick,3806,161,Casey (C),145.365438,-38.031398
1300,Blackburn High School,60 Springfield Road,Blackburn,3130,698,Whitehorse (C),145.149893,-37.81037
1301,Outdoor School,1 Black Possum Road,Bogong,3699,11,Alpine (S),147.225366,-36.804077
1302,Box Hill High School,1180 Whitehorse Road,Box Hill,3128,698,Whitehorse (C),145.137208,-37.820003
1303,Braybrook College,352 Ballarat Road,Braybrook,3019,433,Maribyrnong (C),144.847537,-37.778257
1304,Brentwood Secondary College,65-71 Watsons Road,Glen Waverley,3150,497,Monash (C),145.1663432,-37.89950842
1305,Brighton Secondary College,120 Marriage Road,Brighton East,3187,91,Bayside (C),145.019119,-37.920156
1306,Broadford Secondary College,2-12 Pinniger Street,Broadford,3658,485,Mitchell (S),145.040033,-37.204375
1307,Buckley Park College,59-99 Cooper Street,Essendon,3040,506,Moonee Valley (C),144.897755,-37.747117
1308,Camberwell High School,Prospect Hill Road,Canterbury,3126,111,Boroondara (C),145.072821,-37.830151
1309,Canterbury Girls Secondary College,16 Mangarra Road,Canterbury,3126,111,Boroondara (C),145.069102,-37.820289
1310,Casterton Secondary College,27 Mt Gambier Road,Casterton,3311,241,Glenelg (S),141.387493,-37.588796
1311,Cheltenham Secondary College,73-75 Bernard Street,Cheltenham,3192,343,Kingston (C),145.068676,-37.953762
1312,Cobram Secondary College,25-47 Warkil Street,Cobram,3644,490,Moira (S),145.654121,-35.913605
1313,Cohuna Secondary College,6415 Murray Valley Highway,Cohuna,3568,225,Gannawarra (S),144.226425,-35.813503
1314,Cranbourne Secondary College,Stawell Street,Cranbourne,3977,161,Casey (C),145.286136,-38.107591
1315,Cranbourne West Secondary College,80 Strathlea Drive,Cranbourne West,3977,161,Casey (C),145.246512,-38.10672
1316,Croydon Community School,177-181 Mt Dandenong Road,Croydon,3136,441,Maroondah (C),145.278928,-37.798422
1317,Mount Alexander 7-12 College,167-175 Mt Alexander Road,Flemington,3031,506,Moonee Valley (C),144.933235,-37.782154
1318,Dimboola Memorial Secondary College,66 Ellerman Street,Dimboola,3414,298,Hindmarsh (S),142.034409,-36.449839
1319,East Doncaster Secondary College,20 George Street,Doncaster East,3109,421,Manningham (C),145.158557,-37.782127
1320,Donald High School,2-16 Camp Street,Donald,3480,127,Buloke (S),142.973962,-36.370779
1321,Doncaster Secondary College,123 Church Road,Doncaster,3108,421,Manningham (C),145.138053,-37.784581
1322,Drouin Secondary College,South Road,Drouin,3818,83,Baw Baw (S),145.850978,-38.144659
1323,Eaglehawk Secondary College,1-3 Reserve Street,Eaglehawk,3556,262,Greater Bendigo (C),144.261627,-36.720062
1324,Eltham High School,30-60 Withers Way,Eltham,3095,571,Nillumbik (S),145.141725,-37.724436
1325,Elwood College,101 Glenhuntly Road,Elwood,3184,590,Port Phillip (C),144.985203,-37.88232
1326,Epping Secondary College,Mcdonalds Road,Epping,3076,707,Whittlesea (C),145.033426,-37.644001
1327,Euroa Secondary College,26 Campbell St,Euroa,3666,643,Strathbogie (S),145.5648,-36.758203
1328,Fairhills High School,330 Scoresby Road,Knoxfield,3180,367,Knox (C),145.259037,-37.87321
1329,Bendigo South East 7-10 Secondary College,Ellis Street,Bendigo,3550,262,Greater Bendigo (C),144.297592,-36.775789
1330,Footscray High School,1 Kinnear Street,Footscray,3011,433,Maribyrnong (C),144.8937633,-37.79104291
1331,Foster Secondary College,2 - 10 Pioneer Street,Foster,3960,617,South Gippsland (S),146.197413,-38.651737
1332,Frankston High School,97 Foot Street,Frankston,3199,217,Frankston (C),145.129706,-38.162156
1333,Geelong High School,385 Ryrie Street,East Geelong,3219,275,Greater Geelong (C),144.373726,-38.153026
1334,North Geelong Secondary College,86-132 Separation Street,North Geelong,3215,275,Greater Geelong (C),144.340792,-38.109956
1335,Gisborne Secondary College,95 Melton Road,Gisborne,3437,413,Macedon Ranges (S),144.5847741,-37.49811364
1336,Gladstone Park Secondary College,14 - 36 Taylor Drive,Gladstone Park,3043,327,Hume (C),144.890003,-37.689766
1337,Bundoora Secondary College,53 Balmoral Avenue,Bundoora,3083,66,Banyule (C),145.061977,-37.707501
1338,Greater Shepparton Secondary College,1 - 19 Parkside Drive,Shepparton,3630,283,Greater Shepparton (C),145.391896,-36.35704
1339,Western Port Secondary College,215 High Street,Hastings,3915,534,Mornington Peninsula (S),145.176383,-38.308172
1340,Healesville High School,10 Camerons Road,Healesville,3777,745,Yarra Ranges (S),145.530807,-37.643586
1341,Heywood District Secondary College,Gorrie Street,Heywood,3304,241,Glenelg (S),141.6204999,-38.12926753
1342,Highvale Secondary College,Capital Avenue,Glen Waverley,3150,497,Monash (C),145.17682,-37.865409
1343,Kerang Technical High School,Murray St,Kerang,3579,225,Gannawarra (S),143.913802,-35.725651
1344,Kensington Community High School,405 Racecourse Rd,Kensington,3031,460,Melbourne (C),144.925577,-37.787909
1345,Kew High School,1393 Burke Road,Kew East,3102,111,Boroondara (C),145.063358,-37.795546
1346,Koonung Secondary College,615 Elgar Road,Mont Albert North,3129,698,Whitehorse (C),145.117561,-37.80219
1347,Koo Wee Rup Secondary College,Rossiter Road,Koo Wee Rup,3981,145,Cardinia (S),145.495779,-38.197091
1348,Korumburra Secondary College,125 Jumbunna Road,Korumburra,3950,617,South Gippsland (S),145.8039,-38.44387
1349,Kyabram P-12 College,57 Fischer Street,Kyabram,3620,137,Campaspe (S),145.056207,-36.317476
1350,Kyneton High School,1-9 Epping Street,Kyneton,3444,413,Macedon Ranges (S),144.4581707,-37.25132966
1351,Lalor Secondary College,118 David Street,Lalor,3075,707,Whittlesea (C),145.0306228,-37.67265939
1352,Lalor North Secondary College,114 Childs Road,Epping,3076,707,Whittlesea (C),145.034124,-37.660767
1353,Lilydale High School,25 Melba Avenue,Lilydale,3140,745,Yarra Ranges (S),145.343917,-37.760697
1354,Lorne P-12 College,15 Grove Road,Lorne,3232,649,Surf Coast (S),143.9738904,-38.53917804
1355,Lyndale Secondary College,14 Halton Road,Dandenong North,3175,267,Greater Dandenong (C),145.206712,-37.958765
1356,Lynall Hall Community School,Cnr Gleadell & Highett Street,Richmond,3121,735,Yarra (C),145.002257,-37.816477
1357,Maffra Secondary College,Bill Cane Court,Maffra,3860,681,Wellington (S),146.982424,-37.964888
1358,Mansfield Secondary College,15 View Street,Mansfield,3722,425,Mansfield (S),146.088565,-37.062676
1359,Maribyrnong Secondary College,Gordon Strret,Maribyrnong,3032,433,Maribyrnong (C),144.888238,-37.779521
1360,Matthew Flinders Girls Secondary College,2 Little Ryrie Street,Geelong,3220,275,Greater Geelong (C),144.353208,-38.149587
1361,Melbourne High School,Forrest Hill,South Yarra,3141,635,Stonnington (C),144.995314,-37.836829
1362,Melton Secondary College,Coburns Road,Melton,3337,465,Melton (C),144.568216,-37.681753
1363,Mentone Girls Secondary College,Cnr Balcombe & Charman Rds,Mentone,3194,343,Kingston (C),145.053504,-37.980182
1364,Mildura Senior College,307-339 Deakin Avenue,Mildura,3500,478,Mildura (RC),142.1453901,-34.19800387
1365,Mirboo North Secondary College,Castle Street,Mirboo North,3871,617,South Gippsland (S),146.148821,-38.40018
1366,Monbulk College,146-148 David Hill Road,Monbulk,3793,745,Yarra Ranges (S),145.4278068,-37.88317535
1367,Montmorency Secondary College,Para Road,Montmorency,3094,66,Banyule (C),145.113611,-37.714075
1368,Mooroolbark College,186 Manchester Road,Mooroolbark,3138,745,Yarra Ranges (S),145.3142304,-37.77508326
1369,Mordialloc College,1 Station Street,Mordialloc,3195,343,Kingston (C),145.092675,-38.012243
1370,Mount Beauty Secondary College,Tailrace Road,Mount Beauty,3699,11,Alpine (S),147.167284,-36.740307
1371,Mount Eliza Secondary College,204 Canadian Bay Road,Mount Eliza,3930,534,Mornington Peninsula (S),145.093544,-38.189704
1372,Mount Waverley Secondary College,9 Lechte Road,Mount Waverley,3149,497,Monash (C),145.132311,-37.869086
1373,McKinnon Secondary College,291a Mckinnon Road,Mckinnon,3204,231,Glen Eira (C),145.048545,-37.912204
1374,MacRobertson Girls High School,350-370 Kings Way,Melbourne,3004,590,Port Phillip (C),144.971862,-37.835886
1375,Nathalia Secondary College,41 Chapel Street,Nathalia,3638,490,Moira (S),145.208438,-36.059901
1376,Neerim District Secondary College,20 Neerim East Road,Neerim South,3831,83,Baw Baw (S),145.95668,-38.016936
1377,Newcomb Secondary College,81 - 85 Bellarine Highway,Newcomb,3219,275,Greater Geelong (C),144.395201,-38.171133
1378,Northcote High School,St Georges Road,Northcote,3070,189,Darebin (C),144.989706,-37.774156
1379,Norwood Secondary College,9 Byron Street,Ringwood,3134,441,Maroondah (C),145.237605,-37.799752
1380,Numurkah Secondary College,104 Tocumwal Road,Numurkah,3636,490,Moira (S),145.446271,-36.079948
1381,Oberon High School,163 Batten Road,Charlemont,3217,275,Greater Geelong (C),144.364137,-38.231762
1382,Orbost Secondary College,20 Arnold Street,Orbost,3888,211,East Gippsland (S),148.466353,-37.704106
1383,Ouyen P-12 College,1-35 Fuller Street,Ouyen,3490,478,Mildura (RC),142.322608,-35.064571
1384,Pakenham Secondary College,1020 Princes Highway,Pakenham,3810,145,Cardinia (S),145.471002,-38.068997
1385,Edenbrook Secondary College,133 Henry Road,Pakenham,3810,145,Cardinia (S),145.444017,-38.078267
1386,Parkdale Secondary College,Warren Road,Mordialloc,3195,343,Kingston (C),145.093501,-37.990301
1387,Pascoe Vale Girls Secondary College,Lake Avenue,Pascoe Vale,3044,525,Moreland (C),144.935499,-37.717564
1388,Prahran High School,138 High Street,Windsor,3181,635,Stonnington (C),144.9911611,-37.85174882
1389,Preston High School,2-16 Cooma Street,Preston,3072,189,Darebin (C),145.006401,-37.741692
1390,Princes Hill Secondary College,Arnold Street,Princes Hill,3054,735,Yarra (C),144.96503,-37.783481
1391,Homestead Senior Secondary College,9 Coaching Parade,Point Cook,3030,726,Wyndham (C),144.766892,-37.91615
1392,Bellarine Secondary College,Peninsula Drive,Drysdale,3222,275,Greater Geelong (C),144.557527,-38.190662
1393,Rainbow P-12 College,17 Albert Street,Rainbow,3424,298,Hindmarsh (S),141.9966997,-35.89446757
1394,Red Cliffs Secondary College,55 Fitzroy Avenue,Red Cliffs,3496,478,Mildura (RC),142.195452,-34.298804
1395,Ringwood Secondary College,Bedford Road,Ringwood,3134,441,Maroondah (C),145.239147,-37.816606
1396,Richmond High School,4 Griffiths Street,Richmond,3121,735,Yarra (C),145.002804,-37.817408
1397,Robinvale College,88 George Street,Robinvale,3549,661,Swan Hill (RC),142.7815451,-34.58888676
1398,Rochester Secondary College,26 Edward Street,Rochester,3561,137,Campaspe (S),144.6986963,-36.35277863
1399,Rosebud Secondary College,245 Eastbourne Road,Rosebud,3939,534,Mornington Peninsula (S),144.887447,-38.367615
1400,Rubicon Outdoor School,264 Rubicon Road,Thornton,3712,562,Murrindindi (S),145.821336,-37.294928
1401,Rutherglen High School,40 Sheridans Bridge Road,Rutherglen,3685,335,Indigo (S),146.452103,-36.062564
1402,Saltwater P-9 College,15 Kirra Place,Point Cook,3030,726,Wyndham (C),144.770284,-37.91133
1403,Scoresby Secondary College,Cavell Street,Scoresby,3179,367,Knox (C),145.2362,-37.888642
1404,St Albans Secondary College,289 Main Road East,St Albans,3021,118,Brimbank (C),144.808411,-37.745532
1405,St Arnaud Secondary College,Smith Street,St Arnaud,3478,581,Northern Grampians (S),143.250936,-36.609547
1406,Oakwood School,319 Balaclava Road,Caulfield North,3161,231,Glen Eira (C),145.034173,-37.87398
1407,Strathmore Secondary College,400 Pascoe Vale Road,Strathmore,3041,506,Moonee Valley (C),144.926643,-37.73695
1408,Sunbury College,30 Racecourse Road,Sunbury,3429,327,Hume (C),144.728672,-37.574279
1409,Sydney Road Community School,350 Sydney Road,Brunswick,3056,525,Moreland (C),144.961878,-37.769691
1410,Tallangatta Secondary College,145 Towong Street,Tallangatta,3700,667,Towong (S),147.172667,-36.220441
1411,Thomastown Secondary College,80-96 Main Street,Thomastown,3074,707,Whittlesea (C),145.0019385,-37.67871605
1412,Trafalgar High School,70-80 School Road,Trafalgar,3824,83,Baw Baw (S),146.158302,-38.214568
1413,Dohertys Creek P-9 College,60 Elmhurst Road,Truganina,3029,726,Wyndham (C),144.733911,-37.842976
1414,University High School,77 Story Street,Parkville,3052,460,Melbourne (C),144.95538,-37.796982
1415,Roxburgh College,60-70 Donald Cameron Drive,Roxburgh Park,3064,327,Hume (C),144.930331,-37.63041
1416,Upper Yarra Secondary College,81-89 Little Yarra Road,Yarra Junction,3797,745,Yarra Ranges (S),145.623933,-37.79209352
1417,Upwey High School,1451 Burwood Highway,Upwey,3158,745,Yarra Ranges (S),145.335475,-37.904357
1418,Vermont Secondary College,27 - 63 Morack Road,Vermont,3133,698,Whitehorse (C),145.199701,-37.844117
1419,Kambrya College,68 Bemersyde Drive,Berwick,3806,161,Casey (C),145.34741,-38.05368819
1420,Carrum Downs Secondary College,263 McCormicks Road,Carrum Downs,3201,217,Frankston (C),145.197658,-38.095291
1421,Wangaratta High School,17-49 Edwards Street,Wangaratta,3677,670,Wangaratta (RC),146.307723,-36.344898
1422,Wantirna College,90 Harold Street,Wantirna,3152,367,Knox (C),145.229974,-37.857598
1423,Warracknabeal Secondary College,1 Tregear Street,Warracknabeal,3393,763,Yarriambiack (S),142.389405,-36.26275
1424,Warrandyte High School,241-247 Heidelberg-Warrandyte Rd,Warrandyte,3113,421,Manningham (C),145.184222,-37.748269
1425,Wellington Secondary College,91 Police Road,Mulgrave,3170,497,Monash (C),145.169378,-37.934467
1426,Werribee Secondary College,45 Duncans Road,Werribee,3030,726,Wyndham (C),144.668744,-37.905536
1427,Bairnsdale Secondary College,90 Mckean Street,Bairnsdale,3875,211,East Gippsland (S),147.6049997,-37.82871098
1428,Westall Secondary College,88-128 Rosebank Avenue,Clayton South,3169,343,Kingston (C),145.136577,-37.940312
1429,Wheelers Hill Secondary College,2-28 Raphael Drive,Wheelers Hill,3150,497,Monash (C),145.181743,-37.910126
1430,Williamstown High School,76 Pasco Street,Williamstown,3016,311,Hobsons Bay (C),144.895024,-37.862855
1431,Wodonga Senior Secondary College,80 Brockley Street,Wodonga,3690,717,Wodonga (C),146.8810522,-36.12560893
1432,Yarram Secondary College,86 James Street,Yarram,3971,681,Wellington (S),146.68546,-38.566575
1433,Woodmans Hill Secondary College,1 Fussell Street,Ballarat East,3350,57,Ballarat (C),143.892275,-37.559122
1434,Yea High School,67 Racecourse Rd,Yea,3717,562,Murrindindi (S),145.408536,-37.215011
1435,Glen Eira College,76 Booran Road,Caulfield East,3145,231,Glen Eira (C),145.038006,-37.8857
1436,Craigieburn Secondary College,102 Hothlyn Drive,Craigieburn,3064,327,Hume (C),144.9359541,-37.60875112
1437,Emerald Secondary College,425 Belgrave-gembrook Rd,Emerald,3782,145,Cardinia (S),145.4587437,-37.92427055
1438,Reservoir High School,855 Plenty Road,Reservoir,3073,189,Darebin (C),145.029772,-37.722259
1439,Hampton Park Secondary College,58 - 96 Fordholm Road,Hampton Park,3976,161,Casey (C),145.259884,-38.034862
1440,Hoppers Crossing Secondary College,2 Fraser Street,Hoppers Crossing,3029,726,Wyndham (C),144.695358,-37.871223
1441,Keilor Downs Secondary College,100-110 Odessa Avenue,Keilor Downs,3038,118,Brimbank (C),144.811186,-37.715515
1442,Kurnai College,Bridle Road,Morwell,3840,381,Latrobe (C),146.432788,-38.228791
1443,Kurunjang Secondary College,Kurunjang Drive,Melton,3337,465,Melton (C),144.585957,-37.672914
1444,Lakes Entrance Secondary College,1-11 North Street,Lakes Entrance,3909,211,East Gippsland (S),147.998412,-37.871343
1445,Elisabeth Murdoch College,80 Warrandyte Road,Langwarrin,3910,217,Frankston (C),145.19018,-38.159291
1446,Sunbury Downs Secondary College,148-174 Mitchells Lane,Sunbury,3429,327,Hume (C),144.704485,-37.584007
1447,Forest Hill College,178-180 Mahoneys Road,Burwood East,3151,698,Whitehorse (C),145.163728,-37.848519
1448,Patterson River Secondary College,78 - 98 Eel Race Road,Seaford,3198,217,Frankston (C),145.134741,-38.083504
1449,St Helena Secondary College,Wallowa Road,Eltham North,3095,66,Banyule (C),145.1399078,-37.68686717
1450,Stawell Secondary College,79-97 Patrick Street,Stawell,3380,581,Northern Grampians (S),142.789787,-37.061954
1451,Rowville Secondary College,17 Paratea Drive,Rowville,3178,367,Knox (C),145.2370885,-37.92388682
1452,Wonthaggi Secondary College,2 McKenzie Street,Wonthaggi,3995,74,Bass Coast (S),145.5978801,-38.61094209
1453,Sandringham College,11 Holloway Road,Sandringham,3191,91,Bayside (C),145.023034,-37.956709
1454,Fitzroy High School,Falconer Street,Fitzroy North,3068,735,Yarra (C),144.987476,-37.784911
1455,Ashwood High School,50 Vannam Drive,Ashwood,3147,497,Monash (C),145.103328,-37.864527
1456,Mullauna Secondary College,456 Springfield Road,Mitcham,3132,698,Whitehorse (C),145.190155,-37.807109
1457,Leongatha Secondary College,115 Nerrena Road,Leongatha,3953,617,South Gippsland (S),145.9612411,-38.47868659
1458,Diamond Valley College,165-179 Main Hurstbridge Road,Diamond Creek,3089,571,Nillumbik (S),145.167403,-37.672828
1459,Blackburn English Language School,120 Eley Road,Burwood East,3151,698,Whitehorse (C),145.148292,-37.847889
1460,Collingwood English Language School,19 Cambridge Street,Collingwood,3066,735,Yarra (C),144.9847995,-37.80784119
1461,Noble Park English Language School,21-35 Thomas Street,Noble Park,3174,267,Greater Dandenong (C),145.178166,-37.971168
1462,Greensborough Secondary College,Nell  Street,Greensborough,3088,66,Banyule (C),145.091251,-37.708486
1463,Ararat Secondary College,4-30 Barkly Street,Ararat,3377,26,Ararat (RC),142.9219615,-37.28599961
1464,Mill Park Secondary College,9 - 25 Moorhead Drive,Mill Park,3082,707,Whittlesea (C),145.063414,-37.664155
1465,Bacchus Marsh College,73 Grant Street,Bacchus Marsh,3340,515,Moorabool (S),144.4330584,-37.68562875
1466,The Grange P-12 College,30 Deloraine Drive,Hoppers Crossing,3029,726,Wyndham (C),144.6749381,-37.8581346
1467,Springside West Secondary College,70 City Vista Court,Fraser Rise,3336,465,Melton (C),144.7268872,-37.71597696
1468,Taylors Lakes Secondary College,1-39 Parmelia Drive,Taylors Lakes,3038,118,Brimbank (C),144.794402,-37.70741
1469,Sunshine College,Lachlan Road,Sunshine West,3020,118,Brimbank (C),144.81382,-37.793158
1470,Wallan Secondary College,100 Duke Street,Wallan,3756,485,Mitchell (S),144.981473,-37.418393
1471,Thornbury High School,238 Collins Street,Thornbury,3071,189,Darebin (C),145.0252135,-37.75649469
1472,Portland Secondary College,170 Must Street,Portland,3305,241,Glenelg (S),141.5948243,-38.3588185
1473,Copperfield College,Goldsmith Avenue,Delahey,3037,118,Brimbank (C),144.772426,-37.719463
1474,Bayside P-12 College,29-69 Kororoit Creek Road,Williamstown,3016,311,Hobsons Bay (C),144.8852138,-37.85770007
1475,South Oakleigh Secondary College,Bakers Road,Oakleigh South,3167,497,Monash (C),145.089768,-37.92232068
1476,Swan Hill College,10 - 32 Pye Street,Swan Hill,3585,661,Swan Hill (RC),143.5528519,-35.33522773
