,coordinates,cost_text,desc,name,rooms
https://www.domain.com.au/27b-clyde-st-myrtleford-vic-3737-8193365,"[-36.5605606, 146.7258874]",From $145 per night,STUDIO 27 is upstairs accommodation ideal for couples or singles who wish to enjoy a room with a view in the heart of the Myrtleford township. Large double glazed doors open to a balcony with bar seating and over looking Myrtleford's new piazza and St Paul's Church. There is an intimate dining area with a delightful vista and a well equipped kitchenette for preparation of breakfast and light meals,27B Clyde St Myrtleford VIC 3737,"['1 Bed', '1 Bath', '1 Parking']"
https://www.domain.com.au/48-elgin-st-myrtleford-vic-3737-8192979,"[-36.5639288, 146.7296099]",From $280 per night,Holiday in comfort at Belford House. This tastefully renovated holiday house offers excellent group stay comfort in close proximity to town. So many special touches have been included at the property to ensure a holiday which will cater to everyone's needs. Polished timber floors feature in the living areas with carpeted bedrooms and tiled bathrooms. A wood combustion heater is supported by split,48 Elgin St Myrtleford VIC 3737,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/14-robert-street-myrtleford-vic-3737-16050270,"[-36.5552745, 146.732673]",$400 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",14 Robert Street Myrtleford VIC 3737,"['3 Beds', '1 Bath', '1 Parking']"
https://www.domain.com.au/14-jubilee-street-myrtleford-vic-3737-12185955,"[-36.554159, 146.7208003]",From $95.00 per month,"Whether you need personal storage for seasonal items, you need more room around the house or simply in between houses - we have you covered. 
We offer secure units on a flexible month-to-month basis",14 Jubilee Street Myrtleford VIC 3737,[]
https://www.domain.com.au/47-chambers-street-myrtleford-vic-3737-12185796,"[-36.5530096, 146.7188613]",From $110.00 per month,"Whether you need personal storage for seasonal items, you need more room around the house or simply in between houses - we have you covered! We offer secure units in a highly secure complex on a flexible month-to-month basis",47 Chambers Street Myrtleford VIC 3737,[]
https://www.domain.com.au/4-shepherd-street-wallan-vic-3756-16081571,"[-37.4333271, 144.9915156]",$420 pw," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",4 Shepherd Street Wallan VIC 3756,"['3 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/17-vecchio-parkway-wallan-vic-3756-16081282,"[-37.4254089, 144.9962065]",$400 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",17 Vecchio Parkway Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/2-8-10-dudley-street-wallan-vic-3756-8840506,"[-37.4180056, 144.9737693]",$375 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",2/8-10 Dudley Street Wallan VIC 3756,"['3 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/5-springridge-boulevard-wallan-vic-3756-16070957,"[-37.3969802, 144.9761553]",$590," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",5 Springridge Boulevard Wallan VIC 3756,"['4 Beds', '2 Baths', '2 Parking']"
https://www.domain.com.au/63-princes-circuit-wallan-vic-3756-16077532,"[-37.4220606, 144.9972785]",$390 per week," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",63 Princes Circuit Wallan VIC 3756,"['4 Beds', '2 Baths', '1 Parking']"
